Date,ticker,Open,High,Low,Close,Volume
2016-01-04,AAPL,23.09246388832103,23.71360460836271,22.9551827560473,23.709102630615234,270597600
2016-01-05,AAPL,23.799121980805065,23.821626717292084,23.04745313673035,23.114967346191406,223164000
2016-01-06,AAPL,22.631105943121526,23.03844902348601,22.475822072099724,22.662612915039062,273829600
2016-01-07,AAPL,22.208018022318978,22.534341069129724,21.70165360809434,21.706153869628906,324377600
2016-01-08,AAPL,22.17876222974189,22.304790157866496,21.775920997198742,21.82093048095703,283192000
2016-01-11,AAPL,22.273280189837518,22.29353393971297,21.9064462500791,22.174257278442383,198957600
2016-01-12,AAPL,22.628859360355968,22.660366336017216,22.244020968919553,22.496078491210938,196616800
2016-01-13,AAPL,22.577094873452022,22.77288967617828,21.89744225248481,21.917695999145508,249758400
2016-01-14,AAPL,22.04597785408347,22.613106875133813,21.546364765015802,22.397056579589844,252680400
2016-01-15,AAPL,21.649892613211364,21.989719901487664,21.46085071001248,21.859189987182617,319335600
2016-01-19,AAPL,22.14725699216228,22.201268720326865,21.49235813478439,21.75341796875,212350800
2016-01-20,AAPL,21.402328884164366,22.097736688815445,21.024243504208727,21.782665252685547,289337600
2016-01-21,AAPL,21.843429256646218,22.02797083685336,21.36632267791624,21.672391891479492,208646000
2016-01-22,AAPL,22.19675792537983,22.833652048076623,22.138245958525182,22.824649810791016,263202000
2016-01-25,AAPL,22.84715944338687,22.84941043244113,22.327292576954793,22.37905502319336,207178000
2016-01-26,AAPL,22.489331818323304,22.703129441961522,22.070737094209072,22.50283432006836,300308000
2016-01-27,AAPL,21.61388191579554,21.746661081313626,21.006243644691438,21.024248123168945,533478800
2016-01-28,AAPL,21.107515542267087,21.271801671005875,20.79244406686214,21.175029754638672,222715200
2016-01-29,AAPL,21.33257159876453,21.906450271606445,21.233548669191034,21.906450271606445,257666000
2016-02-01,AAPL,21.710650950198147,21.76466266143647,21.46984666288399,21.701648712158203,163774000
2016-02-02,AAPL,21.474352578867418,21.613884729731595,21.217794736666875,21.262805938720703,149428800
2016-02-03,AAPL,21.37982887826044,21.793921581847044,21.172782526467135,21.68364715576172,183857200
2016-02-04,AAPL,21.690442590869026,22.023062837928833,21.538840705547045,21.85788345336914,185886800
2016-02-05,AAPL,21.839773653124055,21.93028280241884,21.19942517660604,21.274093627929688,185672400
2016-02-08,AAPL,21.072709743355976,21.654228686840714,21.052346092950472,21.49810218811035,216085600
2016-02-09,AAPL,21.335188239128584,21.70853740455084,21.253730176624874,21.49357795715332,177324800
2016-02-10,AAPL,21.70400705661494,21.8013040732542,21.292192138208378,21.330657958984375,169374400
2016-02-11,AAPL,21.222054147101463,21.432487206495896,20.95052667215973,21.201688766479492,200298800
2016-02-12,AAPL,21.312564633980127,21.382708416044636,21.045563549785236,21.267309188842773,161405600
2016-02-16,AAPL,21.50036492754937,21.91444310662527,21.40759430416859,21.866926193237305,196231600
2016-02-17,AAPL,21.87370974023489,22.222168762309874,21.756049081790966,22.201805114746094,179452800
2016-02-18,AAPL,22.36472139871926,22.37603568810699,21.74247346139411,21.780941009521484,156084000
2016-02-19,AAPL,21.722110031215855,21.894077218998742,21.676856325844767,21.73116111755371,141496800
2016-02-22,AAPL,21.792247763193348,21.925749091843294,21.70400185371191,21.921222686767578,137123200
2016-02-23,AAPL,21.812614492089565,21.835241339924366,21.394011765033337,21.425689697265625,127770400
2016-02-24,AAPL,21.265043982363427,21.808095418234426,21.115703629076013,21.744739532470703,145022800
2016-02-25,AAPL,21.733424402142486,21.89407730102539,21.55240612734355,21.89407730102539,110330800
2016-02-26,AAPL,21.99363975157595,22.179182739750832,21.853352203394042,21.928022384643555,115964400
2016-02-29,AAPL,21.916702590227032,22.226695802651435,21.869185684903833,21.878236770629883,140865200
2016-03-01,AAPL,22.095457279065084,22.80142469069322,22.043413968591395,22.747119903564453,201628400
2016-03-02,AAPL,22.742591203306656,22.828573911586282,22.545734011079645,22.79689598083496,132678400
